Distination,Goose_pkt_identifi,Goose_pkt_length,Goose_pkt_datSet,Goose_pkt_time,Goose_pkt_TimeAllowTolive,Goose_pkt_stNum,Goose_pkt_sqNum,Goose_pkt_Data_bit_string,Goose_pkt_data_cnt,Goose_pkt_test
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 19, 49.96599996)",15000,123,5,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 0.09099996)",15000,124,3,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 0.09099996)",15000,123,3,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 19, 51.939999997)",15000,123,5,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 4.96599996)",1500,124,0,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 4.96599996)",1500,125,0,4,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 4.96599996)",1500,125,1,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 4.96599996)",1500,124,1,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 4.96599996)",1500,125,2,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 4.96599996)",1500,124,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 19, 54.594999969)",15000,124,5,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 19, 54.594999969)",15000,123,5,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 4.96599996)",15000,125,3,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 4.96599996)",15000,124,3,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 0.09099996)",15000,124,4,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 0.09099996)",15000,123,4,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 6.940999984)",1500,124,0,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 6.940999984)",1500,124,1,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 6.940999984)",1500,124,2,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 6.940999984)",15000,124,3,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 9.594999969)",1500,124,0,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 9.594999969)",1500,125,0,4,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 9.594999969)",1500,125,1,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 9.594999969)",1500,124,1,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 9.594999969)",1500,125,2,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 9.594999969)",1500,124,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 9.594999969)",15000,125,3,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 9.594999969)",15000,124,3,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 4.96599996)",15000,125,4,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 4.96599996)",15000,124,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 0.09099996)",15000,124,5,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 0.09099996)",15000,123,5,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 6.940999984)",15000,124,4,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 14.96599996)",1500,125,0,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 14.96599996)",1500,126,0,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 15.09099996)",1500,124,0,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 15.09099996)",1500,125,0,4,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 14.96599996)",1500,126,1,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 14.96599996)",1500,125,1,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 15.09099996)",1500,125,1,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 15.09099996)",1500,124,1,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 14.96599996)",1500,126,2,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 14.96599996)",1500,125,2,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 15.09099996)",1500,125,2,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 15.09099996)",1500,124,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 9.594999969)",15000,125,4,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 9.594999969)",15000,124,4,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 14.96599996)",15000,126,3,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 14.96599996)",15000,125,3,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 15.09099996)",15000,125,3,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 15.09099996)",15000,124,3,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 16.940999984)",1500,125,0,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 16.940999984)",1500,125,1,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 16.940999984)",1500,125,2,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 16.940999984)",15000,125,3,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 19.595999956)",1500,125,0,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 19.595999956)",1500,126,0,4,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 19.595999956)",1500,126,1,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 19.595999956)",1500,125,1,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 19.595999956)",1500,126,2,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 19.595999956)",1500,125,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 19.595999956)",15000,126,3,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 19.595999956)",15000,125,3,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 14.96599996)",15000,126,4,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 14.96599996)",15000,125,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 15.09099996)",15000,125,4,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 15.09099996)",15000,124,4,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 16.940999984)",15000,125,4,3,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 25.09099996)",1500,125,0,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 25.09099996)",1500,126,0,4,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 25.09099996)",1500,126,1,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 25.09099996)",1500,125,1,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 25.09099996)",1500,126,2,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 25.09099996)",1500,125,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 19.595999956)",15000,126,4,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 19.595999956)",15000,125,4,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 14.96599996)",15000,126,5,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 14.96599996)",15000,125,5,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 25.09099996)",15000,126,3,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 25.09099996)",15000,125,3,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 16.940999984)",15000,125,5,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 29.966999948)",1500,126,0,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 29.966999948)",1500,127,0,4,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 29.966999948)",1500,127,1,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 29.966999948)",1500,126,1,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 29.966999948)",1500,127,2,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 29.966999948)",1500,126,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 19.595999956)",15000,126,5,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 19.595999956)",15000,125,5,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 29.966999948)",15000,127,3,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 29.966999948)",15000,126,3,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 25.09099996)",15000,126,4,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 25.09099996)",15000,125,4,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 31.941999971)",1500,126,0,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 31.941999971)",1500,126,1,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 31.941999971)",1500,126,2,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 31.941999971)",15000,126,3,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 34.595999956)",1500,126,0,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 34.596999943)",1500,127,0,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 34.595999956)",1500,126,1,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 34.596999943)",1500,127,1,4,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 34.596999943)",1500,127,2,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 34.595999956)",1500,126,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 34.596999943)",15000,127,3,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 34.595999956)",15000,126,3,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 29.966999948)",15000,127,4,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 29.966999948)",15000,126,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 25.09099996)",15000,126,5,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 25.09099996)",15000,125,5,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 31.941999971)",15000,126,4,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 39.966999948)",1500,127,0,3,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 39.966999948)",1500,128,0,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 40.091999948)",1500,126,0,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 40.091999948)",1500,127,0,4,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 39.966999948)",1500,128,1,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 39.966999948)",1500,127,1,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 40.091999948)",1500,127,1,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 40.091999948)",1500,126,1,3,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 39.966999948)",1500,128,2,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 39.966999948)",1500,127,2,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 40.091999948)",1500,127,2,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 40.091999948)",1500,126,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 34.596999943)",15000,127,4,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 34.595999956)",15000,126,4,3,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 39.966999948)",15000,128,3,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 39.966999948)",15000,127,3,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 40.091999948)",15000,127,3,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 40.091999948)",15000,126,3,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 41.941999971)",1500,127,0,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 41.941999971)",1500,127,1,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 41.941999971)",1500,127,2,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 41.941999971)",15000,127,3,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 44.596999943)",1500,127,0,3,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 44.596999943)",1500,128,0,4,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 44.596999943)",1500,128,1,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 44.596999943)",1500,127,1,3,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 44.596999943)",1500,128,2,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 44.596999943)",1500,127,2,3,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 44.596999943)",15000,128,3,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 44.596999943)",15000,127,3,3,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 39.966999948)",15000,128,4,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 39.966999948)",15000,127,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 40.091999948)",15000,127,4,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 40.091999948)",15000,126,4,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 41.941999971)",15000,127,4,3,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 50.091999948)",1500,127,0,3,1,0
01:0c:cd:01:00:06,6,105,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 50.091999948)",1500,128,0,4,1,0
01:0c:cd:01:00:06,6,105,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 50.091999948)",1500,128,1,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 50.091999948)",1500,127,1,3,1,0
01:0c:cd:01:00:06,6,105,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 50.091999948)",1500,128,2,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 50.091999948)",1500,127,2,3,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 44.596999943)",15000,128,4,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 44.596999943)",15000,127,4,3,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 39.966999948)",15000,128,5,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 39.966999948)",15000,127,5,3,1,0
01:0c:cd:01:00:06,6,105,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 50.091999948)",15000,128,3,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 50.091999948)",15000,127,3,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 41.941999971)",15000,127,5,3,1,0
01:0c:cd:01:00:02,2,104,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 54.966999948)",1500,128,0,3,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 54.966999948)",1500,129,0,4,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 54.966999948)",1500,129,1,4,1,0
01:0c:cd:01:00:02,2,104,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 54.966999948)",1500,128,1,3,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 54.966999948)",1500,129,2,4,1,0
01:0c:cd:01:00:02,2,104,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 54.966999948)",1500,128,2,3,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 44.596999943)",15000,128,5,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 44.596999943)",15000,127,5,3,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 54.966999948)",15000,129,3,4,1,0
01:0c:cd:01:00:02,2,104,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 54.966999948)",15000,128,3,3,1,0
01:0c:cd:01:00:06,6,105,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 50.091999948)",15000,128,4,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 50.091999948)",15000,127,4,3,1,0
01:0c:cd:01:00:03,3,104,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 56.943999946)",1500,128,0,3,1,0
01:0c:cd:01:00:03,3,104,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 56.943999946)",1500,128,1,3,1,0
01:0c:cd:01:00:03,3,104,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 56.943999946)",1500,128,2,3,1,0
01:0c:cd:01:00:03,3,104,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 56.943999946)",15000,128,3,3,1,0
01:0c:cd:01:00:05,5,104,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 59.596999943)",1500,128,0,3,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 59.596999943)",1500,129,0,4,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 59.596999943)",1500,129,1,4,1,0
01:0c:cd:01:00:05,5,104,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 59.596999943)",1500,128,1,3,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 59.596999943)",1500,129,2,4,1,0
01:0c:cd:01:00:05,5,104,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 59.596999943)",1500,128,2,3,1,0
01:0c:cd:01:00:04,4,105,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 59.596999943)",15000,129,3,4,1,0
01:0c:cd:01:00:05,5,104,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 2, 20, 59.596999943)",15000,128,3,3,1,0
01:0c:cd:01:00:01,1,105,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 2, 20, 54.966999948)",15000,129,4,4,1,0
